Becnhmark,Best,ID,Date
00,59,baseline,2024/04/18 00:00:00
01,104,baseline,2024/04/18 00:00:00
02,56,baseline,2024/04/18 00:00:00
03,20,baseline,2024/04/18 00:00:00
04,303,baseline,2024/04/18 00:00:00
05,197,baseline,2024/04/18 00:00:00
06,884,baseline,2024/04/18 00:00:00
07,868,baseline,2024/04/18 00:00:00
08,111,baseline,2024/04/18 00:00:00
09,904,baseline,2024/04/18 00:00:00
10,34,baseline,2024/04/18 00:00:00
11,142,baseline,2024/04/18 00:00:00
12,349,baseline,2024/04/18 00:00:00
13,54,baseline,2024/04/18 00:00:00
14,31,baseline,2024/04/18 00:00:00
15,293,baseline,2024/04/18 00:00:00
16,21,baseline,2024/04/18 00:00:00
17,1111,baseline,2024/04/18 00:00:00
18,72,baseline,2024/04/18 00:00:00
19,13,baseline,2024/04/18 00:00:00
20,2469,baseline,2024/04/18 00:00:00
21,3525,baseline,2024/04/18 00:00:00
22,301,baseline,2024/04/18 00:00:00
23,39,baseline,2024/04/18 00:00:00
24,623,baseline,2024/04/18 00:00:00
25,2481,baseline,2024/04/18 00:00:00
26,37,baseline,2024/04/18 00:00:00
27,700,baseline,2024/04/18 00:00:00
28,994,baseline,2024/04/18 00:00:00
29,48,baseline,2024/04/18 00:00:00
30,2479,baseline,2024/04/18 00:00:00
31,2200,baseline,2024/04/18 00:00:00
32,52,baseline,2024/04/18 00:00:00
33,10389,baseline,2024/04/18 00:00:00
34,74,baseline,2024/04/18 00:00:00
35,34,baseline,2024/04/18 00:00:00
36,103,baseline,2024/04/18 00:00:00
37,337,baseline,2024/04/18 00:00:00
38,520,baseline,2024/04/18 00:00:00
39,2034,baseline,2024/04/18 00:00:00
40,2419,baseline,2024/04/18 00:00:00
41,977,baseline,2024/04/18 00:00:00
42,52,baseline,2024/04/18 00:00:00
43,338,baseline,2024/04/18 00:00:00
44,716,baseline,2024/04/18 00:00:00
45,47,baseline,2024/04/18 00:00:00
46,69,baseline,2024/04/18 00:00:00
47,47,baseline,2024/04/18 00:00:00
48,856,baseline,2024/04/18 00:00:00
49,26,baseline,2024/04/18 00:00:00
50,94,baseline,2024/04/18 00:00:00
51,1795,baseline,2024/04/18 00:00:00
52,624,baseline,2024/04/18 00:00:00
53,81,baseline,2024/04/18 00:00:00
54,612,baseline,2024/04/18 00:00:00
55,27,baseline,2024/04/18 00:00:00
56,1050,baseline,2024/04/18 00:00:00
57,2278,baseline,2024/04/18 00:00:00
58,335,baseline,2024/04/18 00:00:00
59,33,baseline,2024/04/18 00:00:00
60,28,baseline,2024/04/18 00:00:00
61,57,baseline,2024/04/18 00:00:00
62,163,baseline,2024/04/18 00:00:00
63,40,baseline,2024/04/18 00:00:00
64,108,baseline,2024/04/18 00:00:00
65,701,baseline,2024/04/18 00:00:00
66,24,baseline,2024/04/18 00:00:00
67,45,baseline,2024/04/18 00:00:00
68,2051,baseline,2024/04/18 00:00:00
69,209,baseline,2024/04/18 00:00:00
70,44,baseline,2024/04/18 00:00:00
71,105,baseline,2024/04/18 00:00:00
72,25,baseline,2024/04/18 00:00:00
73,1821,baseline,2024/04/18 00:00:00
74,1087,baseline,2024/04/18 00:00:00
75,23,baseline,2024/04/18 00:00:00
76,72,baseline,2024/04/18 00:00:00
77,1902,baseline,2024/04/18 00:00:00
78,117,baseline,2024/04/18 00:00:00
79,11189,baseline,2024/04/18 00:00:00
80,20,baseline,2024/04/18 00:00:00
81,893,baseline,2024/04/18 00:00:00
82,46,baseline,2024/04/18 00:00:00
83,43,baseline,2024/04/18 00:00:00
84,695,baseline,2024/04/18 00:00:00
85,605,baseline,2024/04/18 00:00:00
86,38,baseline,2024/04/18 00:00:00
87,3717,baseline,2024/04/18 00:00:00
88,1160,baseline,2024/04/18 00:00:00
89,88,baseline,2024/04/18 00:00:00
90,53,baseline,2024/04/18 00:00:00
91,614,baseline,2024/04/18 00:00:00
92,89,baseline,2024/04/18 00:00:00
93,2191,baseline,2024/04/18 00:00:00
94,44,baseline,2024/04/18 00:00:00
95,305,baseline,2024/04/18 00:00:00
96,3584,baseline,2024/04/18 00:00:00
97,690,baseline,2024/04/18 00:00:00
98,627,baseline,2024/04/18 00:00:00
99,34,baseline,2024/04/18 00:00:00
